Bild1 	 Gen1 	 Stage 	 Bild2 	 Gen2 	 Wert
insitu10026.png	"CG6897"	5880	insitu10053.png	"qtc"	0.17503185309965288
insitu10026.png	"CG6897"	5880	insitu10076.png	"CG5853"	-0.1257651645930493
insitu10026.png	"CG6897"	5880	insitu10102.png	"Mkp3"	0.7875746395948536
insitu10026.png	"CG6897"	5880	insitu10103.png	"Mkp3"	0.6247703821501278
insitu10026.png	"CG6897"	5880	insitu10104.png	"Mkp3"	0.721908994009382
insitu10026.png	"CG6897"	5880	insitu10141.png	"Mkp3"	0.7666032193490486
insitu10026.png	"CG6897"	5880	insitu10160.png	"Sop2"	0.8031897500307239
insitu10026.png	"CG6897"	5880	insitu10175.png	"CG10508"	0.7346940817852716
insitu10026.png	"CG6897"	5880	insitu10192.png	"BcDNA:SD06613"	0.8124515996437982
insitu10026.png	"CG6897"	5880	insitu10204.png	"CG6695"	0.7200866238127
insitu10026.png	"CG6897"	5880	insitu10222.png	"CG5690"	0.6328693648060004
insitu10026.png	"CG6897"	5880	insitu10245.png	"CG17597"	0.5985853265477049
insitu10026.png	"CG6897"	5880	insitu10246.png	"CG17597"	0.7155380540537698
insitu10026.png	"CG6897"	5880	insitu10255.png	"CG10462"	0.6903058938887031
insitu10026.png	"CG6897"	5880	insitu10265.png	"CG10462"	0.674568934956452
insitu10026.png	"CG6897"	5880	insitu10286.png	"CG13185"	0.6918704233170953
insitu10026.png	"CG6897"	5880	insitu10287.png	"CG13185"	0.4828355392588254
insitu10026.png	"CG6897"	5880	insitu10298.png	"XNP"	0.7775468291244662
insitu10026.png	"CG6897"	5880	insitu10299.png	"XNP"	0.7044490849703686
insitu10026.png	"CG6897"	5880	insitu10315.png	"l(3)04053"	0.6809017992630689
insitu10026.png	"CG6897"	5880	insitu10316.png	"l(3)04053"	0.7636997630539637
insitu10026.png	"CG6897"	5880	insitu10345.png	"CG1884"	0.7299854476317224
insitu10026.png	"CG6897"	5880	insitu10354.png	"Pxn"	-0.23312236654315577
insitu10026.png	"CG6897"	5880	insitu10381.png	"ImpL2"	-0.35410517476219555
insitu10026.png	"CG6897"	5880	insitu10382.png	"ImpL2"	-0.37423030684690733
insitu10026.png	"CG6897"	5880	insitu10432.png	"spz"	0.8494207433519787
insitu10026.png	"CG6897"	5880	insitu10444.png	"VhaSFD"	0.6038784142597962
insitu10026.png	"CG6897"	5880	insitu10457.png	"CG9590"	0.727000764552323
